TRADE NO 	DATETIME 	TYPE 	SYMBOL 	VOLUME 	OPEN PRICE 	CLOSE PRICE 	SWAP 	COMMISSION 	P&L
74562912 	2021-05-06 12:09 	BUY 	GBPCHF 	0.01 	1.26595 	1.26657 	0 	0 	0.57
74562931 	2021-05-06 15:59 	BUY 	AUDCHF 	0.01 	0.70525 	0.70535 	0 	0 	0.09
74562944 	2021-06-18 06:49 	SELL 	CHFJPY 	0.01 	119.955 	119.92 	0.37 	0 	0.27
74604773 	2021-05-06 17:26 	SELL 	XAUUSD 	0.01 	1815.71 	1815.61 	0 	0 	0.08
74604811 	2021-05-06 19:18 	SELL 	AUDJPY 	0.01 	84.828 	84.821 	0 	0 	0.05
74604820 	2021-05-06 19:28 	SELL 	NZDJPY 	0.01 	78.836 	78.823 	0 	0 	0.1
74624121 	2021-05-07 05:46 	SELL 	XAGUSD 	0.01 	27.476 	27.431 	0 	0 	1.86
74963335 	2021-05-11 13:30 	SELL 	GBPUSD 	0.01 	1.4148 	1.41439 	0 	0 	0.34
75068012 	2021-05-12 10:05 	SELL 	EURNZD 	0.01 	1.67796 	1.67741 	0 	0 	0.33
75069179 	2021-05-12 09:58 	SELL 	GBPAUD 	0.01 	1.81309 	1.81247 	0 	0 	0.39
75085960 	2021-05-12 11:52 	BUY 	USDCAD 	0.01 	1.20853 	1.20897 	0 	0 	0.3
75086091 	2021-05-13 07:24 	BUY 	EURCAD 	0.01 	1.46632 	1.46719 	-0.34 	0 	0.59
75086330 	2021-05-12 11:46 	SELL 	CADJPY 	0.01 	89.989 	89.951 	0 	0 	0.29
75086620 	2021-05-14 12:16 	BUY 	NZDCAD 	0.01 	0.87472 	0.87537 	-0.03 	0 	0.44
75446766 	2021-05-14 13:36 	BUY 	USDCHF 	0.01 	0.90315 	0.90368 	0 	0 	0.49
75446945 	2021-06-17 08:11 	SELL 	EURJPY 	0.01 	132.517 	132.457 	0 	0 	0.45
75598746 	2021-05-17 12:56 	BUY 	USDCHF 	0.01 	0.90111 	0.90132 	0 	0 	0.19
75598980 	2021-05-17 14:36 	SELL 	EURAUD 	0.01 	1.56663 	1.56622 	0 	0 	0.26
75599165 	2021-05-17 17:39 	SELL 	EURNZD 	0.01 	1.68467 	1.68438 	0 	0 	0.17
75599358 	2021-05-17 15:46 	BUY 	AUDCHF 	0.01 	0.69866 	0.69926 	0 	0 	0.55
75599469 	2021-05-17 17:11 	BUY 	NZDCHF 	0.01 	0.64974 	0.6504 	0 	0 	0.6
75707390 	2021-05-18 07:20 	SELL 	XAUUSD 	0.01 	1870.62 	1870.33 	0 	0 	0.24
75707578 	2021-05-18 11:26 	BUY 	USDCAD 	0.01 	1.20342 	1.20392 	0 	0 	0.34
75749011 	2021-05-18 14:58 	SELL 	NZDUSD 	0.01 	0.72528 	0.72509 	0 	0 	0.16
75906998 	2021-05-19 12:58 	SELL 	EURAUD 	0.01 	1.57722 	1.57662 	0 	0 	0.38
75907222 	2021-05-19 12:38 	SELL 	EURNZD 	0.01 	1.69872 	1.69845 	0 	0 	0.16
